time,treatment,event
1,control,1
9,control,1
10,control,1
10,control,1
13,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
2,control,1
7,control,1
7,control,1
11,control,1
11,control,1
14,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
2,control,1
5,control,1
5,control,1
8,control,1
9,control,1
10,control,1
10,control,1
14,control,1
14,control,1
21,control,0
21,control,0
21,control,0
7,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
11,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
3,control,1
7,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
10,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
6,control,0
1,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
8,control,1
11,control,1
12,control,1
12,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
4,control,1
11,control,1
11,control,1
11,control,1
12,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
12,control,1
13,control,1
13,control,1
13,control,1
20,control,1
20,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
1,control,1
2,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
11,control,1
11,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
11,control,1
11,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
10,control,1
10,control,1
10,control,1
10,control,1
12,control,1
12,control,1
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
21,control,0
