Id,Group,Weight,Weightmg
219,0,0.0936,9.36
220,0,0.0806,8.06
221,0,0.0728,7.28
222,0,0.0823,8.23
223,0,0.0742,7.42
224,0,0.0675,6.75
225,0,0.0846,8.46
226,0,0.0873,8.73
227,0,0.0973,9.73
228,0,0.1198,11.98
229,0,0.0842,8.42
230,0,0.0842,8.42
231,0,0.092,9.2
232,0,0.1098,10.98
233,0,0.0851,8.51
234,0,0.065,6.5
235,0,0.0915,9.15
236,0,0.0862,8.62
237,0,0.0891,8.91
238,0,0.0818,8.18
239,0,0.0742,7.42
240,0,0.0922,9.22
241,0,0.0971,9.71
242,0,0.0837,8.37
243,0,0.1035,10.35
244,0,0.1048,10.48
245,0,0.0971,9.71
246,0,0.1002,10.02
247,0,0.0951,9.51
248,0,0.0984,9.84
250,0,0.08504,8.504
251,0,0.0936,9.36
252,0,0.0937,9.37
253,0,0.1022,10.22
254,0,0.1018,10.18
255,0,0.0943,9.43
256,0,0.1021,10.21
257,0,0.1007,10.07
258,0,0.1023,10.23
259,0,0.0941,9.41
260,0,0.094,9.4
261,0,0.0972,9.72
262,0,0.1206,12.06
263,0,0.0837,8.37
264,0,0.0953,9.53
265,0,0.1004,10.04
266,0,0.1104,11.04
267,0,0.085,8.5
268,0,0.0915,9.15
269,0,0.1076,10.76
270,0,0.1026,10.26
271,0,0.1045,10.45
272,0,0.0925,9.25
273,0,0.0933,9.33
274,0,0.1048,10.48
275,0,0.0851,8.51
276,0,0.1073,10.73
277,0,0.11,11
278,0,0.0915,9.15
279,0,0.1027,10.27
280,0,0.0925,9.25
281,0,0.0932,9.32
282,0,0.0639,6.39
283,0,0.0649,6.49
284,0,0.068,6.8
285,0,0.0738,7.38
286,0,0.0828,8.28
287,0,0.065,6.5
288,0,0.0619,6.19
289,0,0.0784,7.84
290,0,0.0958,9.58
291,0,0.0972,9.72
292,0,0.06,6
293,0,0.071,7.1
294,0,0.0792,7.92
295,0,0.0748,7.48
296,0,0.0797,7.97
297,0,0.0835,8.35
298,0,0.092,9.2
299,0,0.0827,8.27
300,0,0.0843,8.43
301,0,0.0884,8.84
302,0,0.0868,8.68
303,0,0.0813,8.13
304,0,0.1088,10.88
305,0,0.08,8
306,0,0.0952,9.52
307,0,0.08,8
308,0,0.0681,6.81
309,0,0.0796,7.96
310,0,0.0863,8.63
312,0,0.1087,10.87
313,0,0.0908,9.08
314,0,0.1076,10.76
315,0,0.086,8.6
316,0,0.0649,6.49
317,0,0.0761,7.61
318,0,0.07,7
319,0,0.0876,8.76
320,0,0.0726,7.26
321,0,0.081,8.1
322,0,0.0635,6.35
323,0,0.0751,7.51
324,0,0.0956,9.56
325,0,0.0783,7.83
326,0,0.097,9.7
327,0,0.074,7.4
328,0,0.0798,7.98
329,0,0.0868,8.68
330,0,0.0862,8.62
331,0,0.0731,7.31
332,0,0.0639,6.39
333,0,0.0799,7.99
334,0,0.0876,8.76
335,0,0.0904,9.04
336,0,0.0847,8.47
337,0,0.1045,10.45
338,0,0.0814,8.14
339,0,0.0799,7.99
340,0,0.0837,8.37
341,0,0.0886,8.86
342,0,0.0886,8.86
343,0,0.0835,8.35
344,0,0.0798,7.98
345,0,0.0826,8.26
346,0,0.098,9.8
347,0,0.0872,8.72
348,0,0.0872,8.72
349,0,0.0878,8.78
350,0,0.082,8.2
351,0,0.0899,8.99
352,0,0.0607,6.07
353,0,0.0865,8.65
354,0,0.0641,6.41
355,0,0.0988,9.88
356,0,0.1038,10.38
357,0,0.092,9.2
358,0,0.0824,8.24
359,0,0.0818,8.18
360,0,0.0803,8.03
362,0,0.0807,8.07
363,0,0.0645,6.45
364,0,0.0789,7.89
365,0,0.0605,6.05
366,0,0.1078,10.78
367,0,0.0827,8.27
368,0,0.0927,9.27
369,0,0.0879,8.79
370,0,0.0999,9.99
371,0,0.1098,10.98
372,0,0.1025,10.25
373,0,0.0864,8.64
374,0,0.0814,8.14
375,0,0.0924,9.24
376,0,0.0811,8.11
377,0,0.0815,8.15
378,0,0.0862,8.62
379,0,0.087,8.7
380,0,0.0861,8.61
381,0,0.0903,9.03
382,0,0.0992,9.92
383,0,0.0997,9.97
384,0,0.1064,10.64
385,0,0.1111,11.11
386,0,0.109,10.9
387,0,0.1058,10.58
388,0,0.107,10.7
389,0,0.0681,6.81
390,0,0.0838,8.38
391,0,0.0797,7.97
392,0,0.0779,7.79
393,0,0.0905,9.05
394,0,0.0756,7.56
395,0,0.0965,9.65
396,0,0.0914,9.14
397,0,0.09,9
398,0,0.0921,9.21
399,0,0.0786,7.86
400,0,0.0922,9.22
401,0,0.093,9.3
402,0,0.0907,9.07
403,0,0.0892,8.92
404,0,0.0799,7.99
405,0,0.0838,8.38
406,0,0.0764,7.64
407,0,0.0779,7.79
408,0,0.0913,9.13
409,0,0.0937,9.37
410,0,0.0878,8.78
411,0,0.0991,9.91
412,0,0.0827,8.27
413,0,0.0976,9.76
414,0,0.0929,9.29
415,0,0.091,9.1
416,0,0.0866,8.66
417,0,0.0805,8.05
418,0,0.0773,7.73
419,0,0.0822,8.22
420,0,0.0984,9.84
421,0,0.08474,8.474
422,0,0.09456,9.456
423,0,0.07115,7.115
424,0,0.09621,9.621
425,0,0.08912,8.912
426,0,0.09658,9.658
427,0,0.08125,8.125
428,0,0.08624,8.624
429,0,0.07528,7.528
430,0,0.09574,9.574
431,0,0.09322,9.322
432,0,0.09245,9.245
433,0,0.0862,8.62
434,0,0.0785,7.85
435,0,0.08624,8.624
436,0,0.0786,7.86
437,0,0.09116,9.116
438,0,0.0863,8.63
439,0,0.08189,8.189
440,0,0.07539,7.539
441,0,0.09324,9.324
442,0,0.096,9.6
443,0,0.08514,8.514
444,0,0.07556,7.556
445,0,0.06898,6.898
446,0,0.09604,9.604
447,0,0.0833,8.33
448,0,0.0892,8.92
449,0,0.09124,9.124
450,0,0.0786,7.86
451,0,0.09587,9.587
452,0,0.1053,10.53
453,0,0.0966,9.66
454,0,0.0883,8.83
455,0,0.087,8.7
456,0,0.0924,9.24
457,0,0.0688,6.88
459,0,0.0875,8.75
460,0,0.07419,7.419
461,0,0.0698,6.98
462,0,0.0811,8.11
463,0,0.09154,9.154
464,0,0.0842,8.42
